Stazione,Descrizione,Inquinante,Data,Media_Giornaliera,Ore_Disponibili,latitude,longitude
EDI01,Presenzano Vic. Monastero °*,NO2,2025-10-11,6.547347826086957,23,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,NO2,2025-10-12,5.654782608695651,23,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,NO2,2025-10-13,9.795217391304346,23,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,NO2,2025-10-14,8.444761904761904,21,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,NO2,2025-10-15,7.387727272727272,22,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,NO2,2025-10-16,4.003478260869565,23,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,NO2,2025-10-17,6.974173913043479,23,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,NO2,2025-10-18,9.674999999999999,22,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,O3,2025-10-11,50.57909090909091,22,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,O3,2025-10-12,54.49043478260869,23,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,O3,2025-10-13,40.93565217391305,23,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,O3,2025-10-14,45.935652173913056,23,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,O3,2025-10-15,51.88695652173914,23,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,O3,2025-10-16,64.85391304347827,23,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,O3,2025-10-17,56.85043478260868,23,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,O3,2025-10-18,38.60956521739131,23,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,PM10,2025-10-11,6.083333333333333,24,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,PM10,2025-10-12,7.041666666666667,24,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,PM10,2025-10-13,19.571428571428573,7,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,PM10,2025-10-14,14.333333333333334,24,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,PM10,2025-10-15,12.625,24,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,PM10,2025-10-16,8.875,24,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,PM10,2025-10-17,2.9565217391304346,23,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,PM10,2025-10-18,11.0,23,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,"PM2,5",2025-10-11,4.130434782608695,23,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,"PM2,5",2025-10-12,5.208333333333333,24,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,"PM2,5",2025-10-13,16.142857142857142,7,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,"PM2,5",2025-10-14,10.541666666666666,24,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,"PM2,5",2025-10-15,8.916666666666666,24,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,"PM2,5",2025-10-16,6.666666666666667,24,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,"PM2,5",2025-10-17,2.409090909090909,22,41.239,14.232
EDI01,Presenzano Vic. Monastero °*,"PM2,5",2025-10-18,6.2272727272727275,22,41.239,14.232
EDI02,Pratella Loc. Mastrati °*,NO2,2025-10-11,2.48525,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,NO2,2025-10-12,3.822083333333334,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,NO2,2025-10-13,5.387083333333334,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,NO2,2025-10-14,4.9695833333333335,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,NO2,2025-10-15,4.926249999999999,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,NO2,2025-10-16,3.2986956521739126,23,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,NO2,2025-10-17,5.740958333333334,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,NO2,2025-10-18,4.117500000000001,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,O3,2025-10-11,60.31130434782609,23,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,O3,2025-10-12,53.50086956521739,23,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,O3,2025-10-13,49.02818181818182,22,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,O3,2025-10-14,52.50083333333333,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,O3,2025-10-15,54.501666666666665,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,O3,2025-10-16,65.66166666666668,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,O3,2025-10-17,53.404999999999994,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,O3,2025-10-18,49.34749999999999,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,PM10,2025-10-11,8.208333333333334,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,PM10,2025-10-12,8.434782608695652,23,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,PM10,2025-10-13,22.571428571428573,7,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,PM10,2025-10-14,16.666666666666668,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,PM10,2025-10-15,15.041666666666666,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,PM10,2025-10-16,10.875,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,PM10,2025-10-17,6.666666666666667,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,PM10,2025-10-18,11.125,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,"PM2,5",2025-10-11,6.791666666666667,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,"PM2,5",2025-10-12,8.652173913043478,23,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,"PM2,5",2025-10-13,16.0,7,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,"PM2,5",2025-10-14,12.541666666666666,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,"PM2,5",2025-10-15,11.291666666666666,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,"PM2,5",2025-10-16,7.833333333333333,24,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,"PM2,5",2025-10-17,6.521739130434782,23,41.461,14.641
EDI02,Pratella Loc. Mastrati °*,"PM2,5",2025-10-18,11.083333333333334,24,41.461,14.641
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-01,56.14782608695653,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-02,56.70434782608696,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-03,30.930434782608696,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-04,38.630434782608695,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-05,43.50000000000001,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-06,40.426086956521736,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-07,32.319047619047616,21,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-08,50.31739130434784,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-09,29.278260869565216,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-10,49.74347826086956,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-11,41.14782608695651,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-12,7.565217391304348,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-13,11.42608695652174,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-14,12.882608695652175,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-15,32.519047619047626,21,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-16,32.834782608695654,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-17,17.104545454545455,22,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-18,17.052173913043475,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-19,39.20434782608695,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-20,54.06956521739131,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-21,61.57826086956523,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-22,65.46666666666667,21,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-23,68.84782608695653,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-24,70.34347826086956,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-25,57.6304347826087,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-26,39.99565217391305,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-27,38.040000000000006,20,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-28,33.33478260869565,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-29,58.804347826086975,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-30,63.05652173913043,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-01-31,62.96956521739131,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-01,65.15652173913043,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-02,22.47826086956521,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-03,38.73478260869565,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-04,37.35,22,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-05,43.35652173913043,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-06,59.2478260869565,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-07,55.12608695652173,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-08,52.8304347826087,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-09,43.3,22,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-10,54.45217391304348,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-11,65.15217391304348,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-12,58.58695652173914,23,40.8536064,14.25115
